Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Years,Item_Type_Combined,Item_Visibility_MeanRatio,Outlet
FDA15,9.3,0,0.016047301,249.8092,OUT049,1,0,1,3735.138,14,Food,0.9310779543761085,9
DRC01,5.92,2,0.019278216,48.2692,OUT018,1,2,2,443.4228,4,Drinks,0.9334195208758377,3
FDN15,17.5,0,0.016760075,141.618,OUT049,1,0,1,2097.27,14,Food,0.8727897762771318,9
FDX07,19.2,2,0.0178343378888888,182.095,OUT010,2,2,0,732.38,15,Food,0.818181818181815,0
NCD19,8.93,Non-Edible,0.0097798285555555,53.8614,OUT013,0,2,1,994.7052,26,Non-Consumable,0.7499999999999969,1
FDP36,10.395,2,0.057058688875,51.4008,OUT018,1,2,2,556.6088,4,Food,0.7272727272727273,3
FDO10,13.65,2,0.012741089,57.6588,OUT013,0,2,1,343.5528,26,Food,1.069426769751245,1
FDP10,19.0,0,0.127469857,107.7622,OUT027,1,2,3,4022.7636,28,Food,0.8704928816397633,5
FDH17,16.2,2,0.016687114,96.9726,OUT045,2,1,1,1076.5986,11,Food,0.9241603619293527,7
FDU28,19.2,2,0.09444959,187.8214,OUT017,2,1,1,4710.535,6,Food,0.8763482180275006,2
FDY07,11.8,0,0.0406265244444444,45.5402,OUT049,1,0,1,1516.0266,14,Food,0.5999999999999996,9
FDA03,18.5,2,0.045463773,144.1102,OUT046,2,0,1,2187.153,16,Food,0.933025686442574,8
FDX32,15.1,2,0.1000135,145.4786,OUT049,1,0,1,1589.2646,14,Food,0.9330543755673081,9
FDS46,17.6,2,0.047257328,119.6782,OUT046,2,0,1,2145.2076,16,Food,0.922289906298101,8
FDF32,16.35,0,0.0680243,196.4426,OUT013,0,2,1,1977.426,26,Food,0.9583620262153768,1
FDP49,9.0,2,0.069088961,56.3614,OUT046,2,0,1,1547.3192,16,Food,0.9252652611972232,8
NCB42,11.8,Non-Edible,0.008596051,115.3492,OUT018,1,2,2,1621.8888,4,Non-Consumable,1.0031395479206202,3
