Item_Identifier,Outlet_Identifier,Predicted
OUT049,OUT049,1756.3204779999992
OUT017,OUT017,1550.8945459999998
OUT010,OUT010,690.3813359999999
OUT017,OUT017,2106.9840220000006
OUT027,OUT027,6064.738909999997
OUT046,OUT046,1723.8094640000002
OUT018,OUT018,710.4751799999998
OUT027,OUT027,1979.2236600000024
OUT045,OUT045,1181.2823340000002
OUT017,OUT017,2675.510642
OUT017,OUT017,1491.625030000001
OUT045,OUT045,1767.3594420000002
OUT019,OUT019,610.2523060000002
OUT049,OUT049,1702.6636559999993
OUT013,OUT013,893.0841459999999
OUT049,OUT049,2523.6949260000015
OUT045,OUT045,3791.9440560000035
OUT018,OUT018,2650.0770820000007
OUT027,OUT027,2892.9143160000003
OUT010,OUT010,503.0318740000002
OUT013,OUT013,2709.499732000001
OUT035,OUT035,4022.0312199999976
OUT046,OUT046,796.3101159999995
OUT019,OUT019,321.62134799999984
OUT035,OUT035,2517.516301999998
OUT010,OUT010,673.5765440000001
OUT035,OUT035,752.8000859999994
OUT046,OUT046,1971.1408480000005
OUT046,OUT046,3858.7038219999995
OUT035,OUT035,2022.0013099999999
OUT019,OUT019,82.47264600000015
OUT018,OUT018,2556.432312
OUT018,OUT018,361.60929600000003
OUT027,OUT027,6006.647860000002
OUT017,OUT017,1956.8394640000001
OUT027,OUT027,5199.29878
OUT027,OUT027,2453.8658219999993
OUT010,OUT010,234.68118399999994
OUT017,OUT017,3404.9944120000014
OUT027,OUT027,2736.3847359999986
OUT018,OUT018,2207.186922
OUT010,OUT010,206.8840340000001
OUT017,OUT017,2537.616804000002
OUT018,OUT018,2131.5986479999992
OUT010,OUT010,394.54642199999995
OUT013,OUT013,1758.7573059999986
OUT010,OUT010,136.45570999999993
OUT035,OUT035,3092.940609999999
OUT035,OUT035,4943.4118659999995
OUT046,OUT046,2226.8679700000007
OUT046,OUT046,991.9621039999995
OUT013,OUT013,2011.6947259999995
OUT017,OUT017,3737.9210439999997
OUT017,OUT017,1514.188992000001
OUT027,OUT027,4396.9631739999995
OUT049,OUT049,2472.568143999999
OUT013,OUT013,3972.881863999999
OUT013,OUT013,496.60024599999974
OUT019,OUT019,564.2322099999994
OUT045,OUT045,1401.2227059999996
OUT035,OUT035,2958.974991999999
OUT017,OUT017,3256.2946399999973
OUT027,OUT027,2812.9650519999996
OUT017,OUT017,1531.9059300000006
OUT045,OUT045,1961.8396220000002
OUT027,OUT027,1991.9138080000005
OUT017,OUT017,2654.784288
OUT046,OUT046,4321.381557999999
OUT013,OUT013,3716.009565999999
OUT045,OUT045,4172.621864000001
OUT049,OUT049,3102.581393999998
OUT027,OUT027,2299.4268540000003
OUT018,OUT018,2030.6500519999986
OUT049,OUT049,3723.2534699999983
OUT045,OUT045,3076.755012
OUT045,OUT045,3270.822396000002
OUT019,OUT019,367.68805
OUT046,OUT046,3085.8298659999996
OUT019,OUT019,612.2896540000006
OUT013,OUT013,2089.273742000001
OUT035,OUT035,2961.5050320000005
OUT018,OUT018,1500.6599359999998
OUT046,OUT046,1906.7446720000016
OUT013,OUT013,3327.30221
OUT017,OUT017,2447.6073020000003
OUT035,OUT035,1439.7791840000002
OUT046,OUT046,4776.316040000001
OUT046,OUT046,3142.3762600000027
OUT045,OUT045,734.0644740000004
OUT010,OUT010,511.88035599999984
OUT045,OUT045,3148.947706
OUT027,OUT027,5595.263355999998
OUT027,OUT027,2745.239875999998
OUT018,OUT018,1514.7615800000005
OUT013,OUT013,1723.529828
OUT046,OUT046,848.801788
OUT017,OUT017,2312.2168719999986
OUT018,OUT018,2194.9828079999993
OUT045,OUT045,3091.1496080000006
OUT013,OUT013,998.6733679999998
OUT018,OUT018,2551.385548
OUT017,OUT017,1789.4640020000004
OUT017,OUT017,2969.834190000001
OUT046,OUT046,2690.724172
OUT019,OUT019,457.44454800000034
OUT027,OUT027,6030.789768000003
OUT019,OUT019,508.9441780000001
OUT049,OUT049,904.2629279999996
OUT027,OUT027,1651.5035840000012
OUT018,OUT018,4051.8457439999993
OUT010,OUT010,389.2533119999999
OUT046,OUT046,2873.2865319999987
OUT010,OUT010,165.98393999999993
OUT027,OUT027,6377.059031999997
OUT035,OUT035,1344.769524
OUT027,OUT027,2499.0669839999987
OUT046,OUT046,942.8060900000003
OUT013,OUT013,1406.5424480000001
OUT035,OUT035,1716.6854039999994
OUT045,OUT045,1760.661494
OUT027,OUT027,5391.974641999998
OUT017,OUT017,534.0514959999999
OUT035,OUT035,1493.3694260000004
OUT049,OUT049,1569.4037860000005
OUT018,OUT018,4084.3367839999987
OUT027,OUT027,3140.9847379999974
OUT045,OUT045,1802.9997159999991
OUT018,OUT018,507.58594600000004
OUT018,OUT018,1138.2716540000004
OUT013,OUT013,1288.9621680000005
OUT018,OUT018,2717.3828040000003
OUT013,OUT013,1790.868840000001
OUT035,OUT035,1880.0926980000004
OUT010,OUT010,161.1568900000002
OUT049,OUT049,1307.4514340000003
OUT019,OUT019,196.47092200000006
OUT018,OUT018,425.7791000000002
OUT049,OUT049,993.3602839999992
OUT019,OUT019,430.8924440000002
OUT013,OUT013,2235.6964779999994
OUT010,OUT010,652.0712039999996
OUT046,OUT046,718.2384079999997
OUT049,OUT049,1737.7646320000006
OUT035,OUT035,1777.226597999999
OUT035,OUT035,1485.712726
OUT045,OUT045,1560.854913999999
OUT035,OUT035,1969.4230840000005
OUT027,OUT027,5072.190902000003
OUT017,OUT017,1640.56449
OUT027,OUT027,1205.2311600000014
OUT049,OUT049,1786.2015819999997
OUT045,OUT045,5208.733166000002
OUT010,OUT010,441.3987680000001
OUT035,OUT035,4849.960177999998
OUT018,OUT018,2291.0111420000003
OUT013,OUT013,2172.625244000001
OUT018,OUT018,686.8392800000003
OUT049,OUT049,976.002878
OUT045,OUT045,1541.9595100000013
OUT049,OUT049,795.0584120000001
OUT017,OUT017,1609.3784180000002
OUT035,OUT035,3294.078789999998
OUT013,OUT013,2981.006314
OUT046,OUT046,2965.772810000001
OUT049,OUT049,1045.2660520000004
OUT010,OUT010,212.92284000000004
OUT027,OUT027,2320.958826
OUT049,OUT049,2438.805426
OUT045,OUT045,2329.8073080000017
OUT010,OUT010,679.4222679999993
OUT045,OUT045,3472.786168
OUT017,OUT017,2626.3945760000006
OUT010,OUT010,225.553066
OUT010,OUT010,89.95623800000003
OUT017,OUT017,2194.503432000001
OUT018,OUT018,3161.245032
OUT027,OUT027,3152.2767060000024
OUT027,OUT027,4804.332903999999
OUT027,OUT027,1064.5143300000007
OUT027,OUT027,5039.773099999997
OUT035,OUT035,1488.0430260000005
OUT018,OUT018,3474.816858000001
OUT035,OUT035,4081.9265879999975
OUT017,OUT017,807.2225780000002
OUT010,OUT010,239.9343460000001
OUT049,OUT049,1560.954784
OUT035,OUT035,3156.464587999999
OUT013,OUT013,3934.638312000001
OUT049,OUT049,3800.7193000000025
OUT035,OUT035,2760.2403500000005
OUT046,OUT046,1728.2503499999998
OUT018,OUT018,2919.0070180000002
OUT046,OUT046,2314.547172
OUT019,OUT019,559.3186060000004
OUT035,OUT035,819.5199040000007
OUT027,OUT027,3521.669203999999
OUT019,OUT019,496.6002459999999
OUT017,OUT017,3049.290762
OUT046,OUT046,3024.476396000001
OUT019,OUT019,132.653992
OUT027,OUT027,2423.5852379999983
OUT045,OUT045,1643.2476639999984
OUT017,OUT017,3066.694773999999
OUT045,OUT045,3001.3664780000004
OUT018,OUT018,1648.4808519999997
OUT046,OUT046,1746.2202920000004
OUT049,OUT049,5354.836318
OUT017,OUT017,1565.8950200000006
OUT035,OUT035,2606.2474679999996
OUT046,OUT046,2276.5166759999997
OUT027,OUT027,3347.6690319999984
OUT019,OUT019,53.75669200000003
OUT018,OUT018,3644.302906
OUT017,OUT017,1457.5693599999986
OUT013,OUT013,4271.7994320000025
OUT017,OUT017,1963.3243560000008
OUT019,OUT019,240.7333060000001
OUT027,OUT027,5927.637373999995
OUT046,OUT046,2608.5178459999997
OUT046,OUT046,3833.829534
OUT019,OUT019,438.95528200000007
OUT013,OUT013,2296.217698
OUT046,OUT046,3767.728910000003
OUT035,OUT035,3577.0970540000008
OUT045,OUT045,1963.417568
OUT035,OUT035,1545.0821120000003
OUT018,OUT018,3509.019003999999
OUT046,OUT046,2751.465106000001
OUT019,OUT019,676.9255179999999
OUT017,OUT017,1749.6558200000002
OUT013,OUT013,4013.4557160000013
OUT010,OUT010,418.9013859999997
OUT035,OUT035,1725.3740940000007
OUT045,OUT045,1530.634251999999
OUT046,OUT046,1120.414898
OUT049,OUT049,2174.0300819999993
OUT017,OUT017,2815.435169999999
OUT046,OUT046,1936.4526680000001
OUT019,OUT019,476.66619399999996
OUT017,OUT017,3834.908130000005
OUT010,OUT010,88.82437800000001
OUT017,OUT017,4383.174456000001
OUT010,OUT010,363.0474240000001
OUT017,OUT017,1857.3889180000012
OUT010,OUT010,267.04572199999984
OUT017,OUT017,1869.6929019999995
OUT013,OUT013,647.4771839999995
OUT049,OUT049,720.8816340000002
OUT010,OUT010,129.57133800000014
OUT017,OUT017,3788.355394000003
OUT045,OUT045,3915.1303719999983
OUT010,OUT010,327.25401600000004
OUT019,OUT019,270.8607559999998
OUT017,OUT017,1830.2509099999997
OUT017,OUT017,4319.317578000001
OUT035,OUT035,1283.1297600000005
OUT035,OUT035,3858.1512080000025
OUT027,OUT027,4195.039350000001
OUT046,OUT046,1208.7865319999996
OUT013,OUT013,800.3714959999993
OUT017,OUT017,4383.986732000002
OUT049,OUT049,2362.6046159999987
OUT018,OUT018,3001.0202619999995
OUT027,OUT027,4342.261046000004
OUT049,OUT049,3260.3427040000006
OUT046,OUT046,3161.4447720000007
OUT018,OUT018,2293.5278660000013
OUT017,OUT017,3022.43239
OUT049,OUT049,1719.5483439999991
OUT027,OUT027,3464.490300000001
OUT017,OUT017,4181.2839220000005
OUT045,OUT045,1198.3068399999988
OUT027,OUT027,3528.207360000002
OUT013,OUT013,2293.261546000001
OUT035,OUT035,626.4312459999996
OUT035,OUT035,1461.3644199999992
OUT049,OUT049,2071.257194
OUT045,OUT045,894.6820659999998
OUT046,OUT046,1982.7457419999992
OUT018,OUT018,2203.5117060000002
