Item_Identifier,Outlet_Identifier,sales_predictions
FDW58,OUT049,1847.0
FDW14,OUT017,1573.5
NCN55,OUT010,1873.75
FDQ58,OUT017,2592.75
FDY38,OUT027,5178.75
FDH56,OUT046,1925.5
FDL48,OUT018,594.5
FDC48,OUT027,2785.25
FDN33,OUT045,1508.25
FDA36,OUT017,3092.25
FDT44,OUT017,1989.75
FDQ56,OUT045,1310.75
NCC54,OUT019,1851.0
FDU11,OUT049,2055.25
DRL59,OUT013,892.75
FDM24,OUT049,2556.25
FDI57,OUT045,3082.75
DRC12,OUT018,2760.5
NCM42,OUT027,3198.75
FDA46,OUT010,1126.25
FDA31,OUT013,2802.25
NCJ31,OUT035,3867.75
FDG52,OUT046,801.0
NCL19,OUT019,369.0
FDS10,OUT035,3020.5
FDX22,OUT010,1465.75
NCF19,OUT035,924.75
NCE06,OUT046,2537.25
DRC27,OUT046,3849.5
FDE21,OUT035,2029.5
NCR42,OUT019,-1358.5
FDX51,OUT018,2872.0
NCR06,OUT018,431.75
FDU31,OUT027,4950.75
FDU59,OUT017,2712.5
FDR03,OUT027,4759.0
FDS49,OUT027,2755.25
FDD48,OUT010,-67.0
NCF18,OUT017,3112.5
NCD43,OUT027,3104.5
NCD54,OUT018,1990.5
FDY19,OUT010,-37.5
NCY54,OUT017,2807.75
NCL19,OUT018,2020.75
FDP23,OUT010,1537.75
FDC26,OUT013,1818.0
FDR14,OUT010,-1046.5
NCS41,OUT035,3029.75
FDF41,OUT035,4044.25
FDU34,OUT046,1996.0
DRH11,OUT046,930.0
FDM03,OUT013,1732.25
FDS31,OUT017,3026.75
FDJ20,OUT017,2092.0
FDV44,OUT027,4494.75
FDG02,OUT049,3112.75
FDA09,OUT013,2946.25
FDT04,OUT013,671.75
FDL58,OUT019,2289.0
FDE52,OUT045,1447.25
FDW12,OUT035,2510.5
FDL51,OUT017,3549.5
NCY42,OUT027,3695.25
FDR07,OUT017,1659.75
FDN40,OUT045,2364.0
FDB35,OUT027,2957.25
FDA22,OUT017,2739.25
NCL06,OUT046,4112.0
FDI35,OUT013,2916.5
NCW42,OUT045,3409.5
NCX06,OUT049,2941.75
FDC37,OUT027,3202.5
FDZ14,OUT018,1736.25
DRG49,OUT049,3956.25
NCG06,OUT045,3958.0
DRC36,OUT045,2723.75
FDV21,OUT019,42.5
FDB53,OUT046,2348.25
DRP47,OUT019,2026.0
FDA14,OUT013,2346.5
DRC24,OUT035,2571.0
FDW21,OUT018,1412.25
NCH29,OUT046,1558.75
FDU58,OUT013,3081.75
FDY27,OUT017,2940.0
FDV56,OUT035,1954.25
FDT59,OUT046,3660.25
FDB23,OUT046,3623.25
FDR49,OUT045,690.25
FDB03,OUT010,1900.75
FDN39,OUT045,2628.0
FDX02,OUT027,4983.25
FDQ16,OUT027,3193.5
FDU35,OUT018,1329.25
NCT29,OUT013,1962.0
FDZ27,OUT046,825.5
FDN57,OUT017,2347.0
FDA03,OUT018,2092.0
FDZ36,OUT045,2925.75
NCU05,OUT013,1326.5
FDT39,OUT018,2196.0
FDK60,OUT017,1705.5
FDZ25,OUT017,2847.5
FDG12,OUT046,2022.0
DRB01,OUT019,1110.0
NCC43,OUT027,5371.5
FDX13,OUT019,2033.5
FDM22,OUT049,1029.75
FDJ03,OUT027,2309.25
FDU14,OUT018,3685.0
FDB33,OUT010,636.75
FDP27,OUT046,3011.25
FDO38,OUT010,-673.5
FDE28,OUT027,5141.0
FDO27,OUT035,1698.25
DRL23,OUT027,3173.25
FDS28,OUT046,968.75
FDX24,OUT013,1547.75
FDZ02,OUT035,1756.5
FDL46,OUT045,1809.25
FDS60,OUT027,4300.25
NCO06,OUT017,631.0
FDO16,OUT035,1539.75
FDC60,OUT049,1546.0
FDA48,OUT018,3193.5
FDZ36,OUT027,4471.25
FDK27,OUT045,1886.5
FDW23,OUT018,385.25
FDM14,OUT018,1510.75
FDM14,OUT013,1788.75
FDW60,OUT018,2609.75
FDE21,OUT013,1914.25
NCM42,OUT035,1892.25
FDY59,OUT010,-378.5
DRI49,OUT049,1367.0
FDT28,OUT019,510.75
FDQ22,OUT018,406.75
FDR60,OUT049,1326.0
FDC50,OUT019,-408.0
FDV24,OUT013,2444.0
DRF48,OUT010,1090.5
FDQ47,OUT046,641.75
DRN36,OUT049,1656.75
NCY06,OUT035,2175.5
FDE52,OUT035,1650.75
NCB54,OUT045,1944.25
NCF31,OUT035,2555.5
FDJ08,OUT027,4448.0
NCC07,OUT017,1793.0
NCD19,OUT027,2333.5
FDL46,OUT049,2022.0
FDM20,OUT045,3831.0
NCI06,OUT010,928.25
DRM11,OUT035,4224.0
NCH07,OUT018,2210.5
FDS23,OUT013,2086.0
FDO49,OUT018,599.25
FDS35,OUT049,1159.75
DRK39,OUT045,1265.5
DRI39,OUT049,1035.0
FDV04,OUT017,2639.5
NCN14,OUT035,3003.25
FDH08,OUT013,3702.75
FDS20,OUT046,2912.25
FDV40,OUT049,1341.75
FDZ48,OUT010,-148.5
FDS24,OUT027,2914.0
FDK44,OUT049,2849.25
FDS48,OUT045,2350.5
FDK26,OUT010,1110.75
FDD23,OUT045,2973.5
NCH54,OUT017,2643.25
NCP14,OUT010,-251.75
FDM60,OUT010,-1195.5
FDV24,OUT017,2508.75
FDH08,OUT018,3359.5
FDS12,OUT027,3462.0
FDR39,OUT027,4313.75
FDP12,OUT027,2125.0
DRF60,OUT027,5174.5
FDC09,OUT035,1853.75
FDF50,OUT018,2860.25
FDG28,OUT035,4046.75
NCE19,OUT017,990.75
NCM53,OUT010,-201.75
NCN18,OUT049,1875.75
FDF32,OUT035,3298.75
FDF11,OUT013,3873.0
DRI59,OUT049,3651.5
NCG54,OUT035,2808.25
FDM44,OUT046,1647.0
FDT57,OUT018,3470.0
FDV24,OUT046,2404.0
FDI50,OUT019,1761.25
FDS09,OUT035,1039.25
NCC31,OUT027,3899.75
FDQ07,OUT019,1594.25
FDC22,OUT017,3171.0
FDZ56,OUT046,2703.5
FDZ40,OUT019,-991.0
FDS46,OUT027,3398.25
DRD24,OUT045,2171.0
FDV45,OUT017,3109.0
FDL26,OUT045,2409.25
FDA56,OUT018,1716.0
FDN27,OUT046,1900.5
FDM20,OUT049,3977.5
FDO16,OUT017,1470.5
FDL03,OUT035,3296.25
FDE58,OUT046,1880.0
FDI02,OUT027,3282.0
NCC55,OUT019,-1266.25
FDR03,OUT018,3041.25
FDB14,OUT017,1629.0
FDR45,OUT013,3850.0
NCN07,OUT017,2162.75
FDM51,OUT019,-189.75
FDT52,OUT027,5366.5
FDL26,OUT046,2453.75
NCZ42,OUT046,3765.25
DRI47,OUT019,428.0
FDW40,OUT013,2315.0
FDN34,OUT046,2751.5
FDS01,OUT035,2993.75
NCG55,OUT045,1776.5
FDC11,OUT035,1535.75
FDX35,OUT018,3346.5
NCB06,OUT046,2517.5
FDR09,OUT019,2193.25
FDC53,OUT017,1690.25
FDY45,OUT013,4077.5
FDA22,OUT010,754.75
FDE02,OUT035,1671.0
FDW21,OUT045,1623.75
FDV34,OUT046,1263.5
FDS59,OUT049,1901.25
NCW17,OUT017,2134.5
NCK54,OUT046,1865.25
FDG17,OUT019,2013.75
FDG35,OUT017,2911.75
FDD08,OUT010,-1253.25
NCO07,OUT017,3437.75
FDJ10,OUT010,366.75
FDW36,OUT017,1784.75
FDW21,OUT010,-208.75
FDY19,OUT017,2002.0
DRE03,OUT013,813.25
NCC55,OUT049,723.25
FDH52,OUT010,-815.75
FDO09,OUT017,4303.0
FDU43,OUT045,3756.25
FDX09,OUT010,865.25
FDH40,OUT019,-515.75
FDW58,OUT017,1800.75
FDC47,OUT017,3680.25
NCR41,OUT035,1655.25
DRG49,OUT035,3996.0
FDC52,OUT027,3937.5
FDY13,OUT046,1230.25
FDY35,OUT013,829.0
FDI35,OUT017,2996.75
NCU18,OUT049,2329.75
FDY33,OUT018,2279.5
FDC15,OUT027,3926.0
FDU01,OUT049,3114.5
NCU42,OUT046,2684.25
NCV29,OUT018,2531.25
NCY30,OUT017,2986.75
FDQ46,OUT049,1892.0
FDG58,OUT027,3937.25
FDK33,OUT017,3493.5
NCD07,OUT045,1766.75
NCX29,OUT027,3720.25
NCT42,OUT013,2385.5
DRN59,OUT035,899.25
FDI44,OUT035,1420.5
FDA45,OUT049,2896.25
FDP31,OUT045,1020.75
FDY01,OUT046,1861.25
FDT09,OUT018,1905.25
DRH03,OUT027,2987.0
FDA36,OUT018,2709.0
NCF31,OUT017,2526.25
FDG14,OUT049,2558.25
FDG28,OUT027,5375.5
FDU14,OUT049,4054.5
FDY47,OUT019,244.0
FDI56,OUT049,1557.25
DRD01,OUT013,994.25
FDM22,OUT046,973.5
FDH33,OUT013,729.75
DRZ24,OUT013,1913.0
NCQ38,OUT046,1681.25
FDO16,OUT027,2831.75
FDU07,OUT027,3832.75
NCB07,OUT013,3080.0
FDU48,OUT045,2046.0
NCM43,OUT045,2544.25
FDR31,OUT010,440.0
DRK49,OUT018,412.5
NCI30,OUT010,1917.25
DRD60,OUT017,2970.0
NCG19,OUT046,3662.25
FDH12,OUT035,1833.5
FDM32,OUT035,1639.0
FDM27,OUT035,2645.5
NCU53,OUT027,4080.0
NCQ18,OUT046,1550.25
FDS10,OUT013,2882.0
FDB33,OUT027,3973.75
FDI12,OUT013,1459.0
NCW42,OUT013,3505.25
NCC06,OUT018,1763.0
FDW02,OUT017,2175.5
NCD43,OUT017,1773.5
FDM57,OUT018,1112.75
FDA58,OUT017,3838.0
FDK56,OUT046,2922.0
FDP52,OUT045,3646.0
FDW20,OUT018,1719.0
FDS52,OUT049,1738.5
NCT29,OUT018,1618.75
NCL54,OUT013,2803.5
FDC05,OUT045,3106.75
FDF34,OUT035,3324.75
FDP03,OUT027,3488.25
FDD32,OUT010,-514.25
FDZ10,OUT045,1991.5
FDZ40,OUT035,1055.5
FDD51,OUT018,447.75
NCY30,OUT019,943.0
FDP58,OUT017,3532.5
FDV49,OUT017,4288.0
FDY24,OUT019,-1022.5
NCO55,OUT017,1793.25
FDR13,OUT017,2031.75
FDS51,OUT017,1137.0
FDP26,OUT045,1600.5
NCB54,OUT027,3496.25
FDF32,OUT017,3226.25
FDN31,OUT018,2723.25
DRM48,OUT017,690.25
FDN20,OUT049,2794.0
DRL01,OUT046,3727.0
FDV56,OUT049,1880.25
DRH13,OUT027,3180.75
FDA03,OUT017,2472.0
FDF47,OUT027,4982.25
FDX32,OUT046,2367.5
FDX57,OUT049,1702.0
NCA30,OUT045,2904.25
FDO49,OUT013,909.75
FDL04,OUT019,-232.25
DRM48,OUT035,750.25
FDR16,OUT013,3426.5
NCC19,OUT018,2745.5
NCE42,OUT045,3638.0
FDY24,OUT017,1042.5
FDH19,OUT049,2892.0
FDJ46,OUT013,2794.5
FDN45,OUT010,1603.25
FDY08,OUT035,2393.0
FDZ37,OUT035,1609.5
NCT30,OUT045,697.0
DRY23,OUT018,447.25
NCZ30,OUT018,1662.75
